ranking,score,title,number_of_episodes,emission_date,number_members,url
37,8.77,Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,091,498 members",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
38,8.76,Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"534,533 members",https://myanimelist.net/anime/263/Hajime_no_Ippo
39,8.75,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,745,228 members",https://myanimelist.net/anime/1/Cowboy_Bebop
40,8.75,Kingdom 4th Season,TV (26 eps),Apr 2022 - Oct 2022,"50,951 members",https://myanimelist.net/anime/50160/Kingdom_4th_Season
41,8.74,Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"283,516 members",https://myanimelist.net/anime/44074/Shiguang_Dailiren
42,8.73,Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"535,605 members",https://myanimelist.net/anime/50172/Mob_Psycho_100_III
43,8.73,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"251,554 members",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
44,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"178,731 members",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
45,8.73,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,308,381 members",https://myanimelist.net/anime/37521/Vinland_Saga
46,8.71,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"412,651 members",https://myanimelist.net/anime/48569/86_Part_2
47,8.71,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"46,716 members",https://myanimelist.net/anime/2921/Ashita_no_Joe_2
48,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"266,672 members",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
49,8.70,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"285,005 members",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
50,8.70,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"755,005 members",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
51,8.70,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"376,601 members",https://myanimelist.net/anime/46102/Odd_Taxi
52,8.70,Vinland Saga Season 2,TV (24 eps),Jan 2023 -,"363,094 members",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
53,8.70,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,124,955 members",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
54,8.69,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"777,642 members",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
55,8.69,One Piece,TV (? eps),Oct 1999 -,"2,124,292 members",https://myanimelist.net/anime/21/One_Piece
56,8.68,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"314,918 members",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
57,8.67,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"130,753 members",https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
