ranking,score,title,number_of_episodes,emission_date,number_members,url
37,8.77,Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"641,954 members",https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
38,8.77,Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,097,624 members",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
39,8.76,Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"536,034 members",https://myanimelist.net/anime/263/Hajime_no_Ippo
40,8.75,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,748,518 members",https://myanimelist.net/anime/1/Cowboy_Bebop
41,8.75,Kingdom 4th Season,TV (26 eps),Apr 2022 - Oct 2022,"51,277 members",https://myanimelist.net/anime/50160/Kingdom_4th_Season
42,8.74,Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"285,097 members",https://myanimelist.net/anime/44074/Shiguang_Dailiren
43,8.73,Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"540,593 members",https://myanimelist.net/anime/50172/Mob_Psycho_100_III
44,8.73,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"251,918 members",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
45,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"178,983 members",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
46,8.73,Kimetsu no Yaiba: Katanakaji no Sato-hen,TV (? eps),Apr 2023 -,"366,149 members",https://myanimelist.net/anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen
47,8.73,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,314,449 members",https://myanimelist.net/anime/37521/Vinland_Saga
48,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"266,895 members",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
49,8.71,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"415,251 members",https://myanimelist.net/anime/48569/86_Part_2
50,8.71,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"46,837 members",https://myanimelist.net/anime/2921/Ashita_no_Joe_2
51,8.70,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,128,450 members",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
52,8.70,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"285,357 members",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
53,8.70,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"758,696 members",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
54,8.70,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"378,167 members",https://myanimelist.net/anime/46102/Odd_Taxi
55,8.69,One Piece,TV (? eps),Oct 1999 -,"2,130,130 members",https://myanimelist.net/anime/21/One_Piece
56,8.69,Vinland Saga Season 2,TV (24 eps),Jan 2023 -,"371,803 members",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
57,8.69,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"778,893 members",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
58,8.68,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"315,953 members",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
59,8.67,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"367,035 members",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
60,8.67,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,175,552 members",https://myanimelist.net/anime/164/Mononoke_Hime
61,8.67,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,651,858 members",https://myanimelist.net/anime/33352/Violet_Evergarden
